train/actions/0	train/actions/1	train/actions/2	train/actions/3	train/actions/4	train/actions/5	train/actions/6	train/actions/7	train/actions/8	train/actions/9	train/actions/10	train/actions/11	epoch	learning_rate	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	buffer_capacity	train/loss_kl	train/loss_pi	train/loss_q1	train/loss_q2	train/episodes	train/alpha/0	train/loss_reg	train/distance	train/movement	train/success	walltime
80	71	77	87	79	69	97	85	92	89	81	93	1	0.001	40.5386986868722	37.65459338338845	143.15330200195305	5.799241638183596	47.095238095238095	1000	1000	1.1580952380952383	nan	nan	nan	nan	11.0	nan	nan	21949.780378795804	68.9640688165163	0.0823012241405445	29.014305114746094
71	73	89	84	83	94	84	84	78	85	93	82	2	0.001	34.719407653808595	31.6131660439043	128.60866699218747	4.975314331054688	41.91304347826087	2000	2000	3.0481739130434784	nan	nan	nan	nan	33.0	nan	nan	11628.996323958687	7.919066574488979	0.027788897184544185	54.30598855018616
94	90	69	77	76	72	83	89	72	94	85	99	3	0.001	32.4781733194987	19.789724934395164	80.9338180541992	5.104081726074218	60.46666666666667	3000	3000	4.952399999999999	nan	nan	nan	nan	52.0	nan	nan	9938.677174886068	4.175847190564053	0.007182181506034655	79.80035638809204
97	80	95	83	83	98	82	73	72	70	81	86	4	0.001	36.6170790962551	28.39304021219057	132.72430114746095	4.697447204589845	48.04347826086956	4000	4000	7.071043478260869	nan	nan	nan	nan	71.0	nan	nan	14551.730113817297	4.287374526622554	0.04753443270782164	107.11406779289246
97	89	72	76	95	89	81	79	77	67	102	76	5	0.001	25.424379896081014	17.752128610596206	68.57489318847658	5.405653381347657	40.869565217391305	5000	5000	8.959304347826087	nan	nan	nan	nan	94.0	nan	nan	8831.825906504755	1.9888255415867886	0.015507887558953019	134.4099886417389
90	85	82	79	85	83	94	77	84	89	76	76	6	0.0009973	37.509521831165664	22.228195362504668	82.69439849853516	5.37327117919922	49.59090909090909	6000	6000	11.11490909090909	0.0	2.266392	1.0881069	1.156091	116.5	2.5280071473121644	0.0	11078.37984605269	1.9935746118330153	0.012731647507460801	201.0686571598053
91	87	85	79	76	103	82	84	72	86	68	87	7	0.0009946	31.149248250325513	22.106603272308448	83.15556030273436	3.738780212402344	46.333333333333336	7000	7000	13.151428571428571	0.0	4.962676	0.59168047	0.57203215	138.0	2.148425199985504	0.0	8408.921904790968	1.2812938608390034	0.0018032719594655018	259.26864194869995
87	78	83	79	85	78	78	89	105	92	76	70	8	0.0009919	34.42349363628186	30.613528435270563	107.28261108398439	5.083485412597657	54.0	8000	8000	15.116210526315792	0.0	6.709754	0.6866686	0.67390084	158.0	1.8370891749858855	0.0	13485.758189151162	1.7646357414129967	0.033944415202893714	315.4969573020935
86	85	100	86	70	67	83	75	83	89	94	82	9	0.0009892	29.78574722953465	22.419488110931574	115.97904357910154	7.735121154785157	43.26086956521739	9000	9000	17.04626086956522	0.0	8.348095	0.7770702	0.78451395	179.0	1.5814847576618194	0.0	8719.542223059612	1.0071391830161098	0.015536325981624948	373.30581498146057
77	81	90	69	81	74	95	93	74	82	81	103	10	0.0009865001	45.67977316720144	37.66965307572342	163.92583160400375	12.249375915527343	62.92857142857143	10000	10000	18.764714285714287	0.0	9.677111	0.8109728	0.7496051	197.5	1.3696319270133972	0.0	18653.94019971575	1.9743028703349303	0.05818812774825882	428.3117973804474
103	87	96	82	59	73	87	79	91	79	85	79	11	0.0009838	31.894683572520375	28.090121339127478	127.51650238037112	11.238253784179685	47.21739130434783	11000	11000	20.790347826086958	0.0	10.751157	0.840956	0.8081351	216.0	1.1924997997283935	0.0	12454.241179756496	1.1996072073571191	0.037935960765825866	496.0249330997467
93	64	92	90	79	54	77	94	85	69	113	90	12	0.0009811	46.03651395525251	45.16154038557332	153.38002471923826	5.650906372070312	73.78571428571429	12000	12000	23.110142857142854	0.0	11.72107	0.75996476	0.85081124	234.5	1.0431876462697982	0.0	19810.525840759277	1.6879799782695588	0.07748262662782775	562.8021423816681
71	80	107	87	71	69	119	73	75	61	94	93	13	0.0009784	40.06641348133916	29.847376781413022	154.19144744873051	11.140896606445317	42.69565217391305	13000	13000	25.126956521739128	0.0	12.482635	0.7279802	0.7476728	253.0	0.9163034641742707	0.0	11648.463877802309	0.9347960444552063	0.0237913726143215	631.014835357666
